order_id,product_id,product_name,category,supplier,price,quantity,order_date,customer_id,region,city,marketing_channel,return_reason,return_status,is_returned,return_days
O100000,P2046,Parent,Books,BrandB,263.23,2,2025-03-29,C7756,West,North Jasonmouth,Email,Not Returned,Not Returned,0,0
O100001,P7574,Care,Beauty,BrandD,308.86,1,2025-02-28,C5597,North,Darleneville,Influencer,Not Returned,Not Returned,0,0
O100002,P8632,Entire,Beauty,BrandD,399.34,1,2025-01-22,C2046,East,Mollyshire,Email,Not Returned,Not Returned,0,0
O100003,P4772,Of,Apparel,BrandD,215.58,1,2025-04-28,C1447,West,North Adriantown,Social Media,Not Returned,Not Returned,0,0
O100004,P7846,Remain,Books,BrandB,194.82,3,2025-04-25,C9698,West,South Cesarberg,Social Media,Not Returned,Not Returned,0,0
O100005,P2694,Way,Apparel,BrandB,179.22,2,2024-12-19,C2240,South,New George,Influencer,Not Returned,Not Returned,0,0
O100006,P5959,Read,Books,BrandC,80.13,1,2024-12-08,C5105,South,West Brianna,Social Media,Not Returned,Not Returned,0,0
O100007,P3106,Trade,Books,BrandA,246.74,3,2025-01-27,C5547,South,South Amy,Direct,Not Returned,Not Returned,0,0
O100008,P1710,Standard,Apparel,BrandC,100.21,3,2025-02-05,C4704,West,East Sandra,Email,Not Returned,Not Returned,0,0
O100009,P4299,Appear,Electronics,BrandB,366.84,1,2024-12-28,C7682,West,North Joditon,Influencer,Not Returned,Not Returned,0,0
O100010,P5130,Natural,Apparel,BrandA,337.09,3,2025-02-16,C2971,West,North Kathleentown,Email,Not Returned,Not Returned,0,0
O100011,P9398,Lose,Books,BrandC,493.08,2,2025-01-15,C3068,South,Lake Aaron,Ads,Not Returned,Not Returned,0,0
O100012,P2633,Can,Apparel,BrandD,363.3,3,2025-03-18,C6831,West,Victoriafort,Influencer,Not Returned,Not Returned,0,0
O100013,P5614,Event,Beauty,BrandC,110.15,1,2025-02-12,C7043,East,Lauraport,Ads,Not Returned,Not Returned,0,0
O100014,P8542,Year,Electronics,BrandC,314.98,2,2024-12-12,C3720,East,West William,Influencer,Not Returned,Not Returned,0,0
O100015,P3044,Human,Beauty,BrandD,199.68,1,2024-11-24,C6439,South,Gabrielaville,Social Media,Wrong item,Approved,1,13
O100016,P5049,Try,Apparel,BrandB,440.1,2,2025-02-22,C8636,East,Rachaelburgh,Influencer,Not Returned,Not Returned,0,0
O100017,P4511,Top,Beauty,BrandA,18.58,1,2025-04-15,C7948,North,Lake Denise,Direct,Not Returned,Not Returned,0,0
O100018,P2913,Big,Apparel,BrandC,274.3,2,2025-04-17,C9620,East,Morsetown,Social Media,Not Returned,Not Returned,0,0
O100019,P3084,Fire,Electronics,BrandD,39.91,1,2024-12-15,C4796,West,East Sherylberg,Direct,Not Returned,Not Returned,0,0
O100020,P1620,Fish,Apparel,BrandB,445.07,3,2025-01-16,C6510,North,Mercedesburgh,Email,Not Returned,Not Returned,0,0
O100021,P2157,Defense,Beauty,BrandD,387.01,1,2024-11-13,C7235,South,Gilbertshire,Direct,Not Returned,Not Returned,0,0
O100022,P9998,First,Apparel,BrandA,45.15,2,2025-01-20,C4506,East,Christophermouth,Ads,Not Returned,Not Returned,0,0
O100023,P4699,Plant,Apparel,BrandA,398.58,1,2025-04-14,C9842,North,New Meghan,Influencer,Not as described,Denied,1,5
O100024,P1795,Against,Electronics,BrandB,164.95,2,2025-05-10,C2335,South,West Jessicaport,Influencer,Not Returned,Not Returned,0,0
O100025,P8247,Manager,Apparel,BrandC,362.04,1,2025-01-22,C7374,East,Burnshaven,Social Media,Not Returned,Not Returned,0,0
O100026,P6964,Institution,Beauty,BrandC,250.99,3,2025-01-06,C1700,South,West Cindy,Direct,Not Returned,Not Returned,0,0
O100027,P7982,Win,Electronics,BrandC,479.46,1,2025-04-10,C9947,South,New Lori,Ads,Not Returned,Not Returned,0,0
O100028,P5029,Number,Electronics,BrandA,393.09,2,2025-01-18,C1815,East,Kevinview,Ads,Not Returned,Not Returned,0,0
O100029,P7960,Whom,Electronics,BrandA,212.81,2,2025-02-27,C6284,East,North Jennifer,Ads,Defective,Approved,1,2
O100030,P3613,Exist,Apparel,BrandB,316.6,3,2024-12-19,C9607,South,Odonnellstad,Influencer,Not as described,Denied,1,13
