order_id,product_id,product_name,category,supplier,price,quantity,order_date,customer_id,region,city,marketing_channel
O100000,P2046,Parent,Books,BrandB,263.23,2,2025-03-29,C7756,West,North Jasonmouth,Email
O100001,P7574,Care,Beauty,BrandD,308.86,1,2025-02-28,C5597,North,Darleneville,Influencer
O100002,P8632,Entire,Beauty,BrandD,399.34,1,2025-01-22,C2046,East,Mollyshire,Email
O100003,P4772,Of,Apparel,BrandD,215.58,1,2025-04-28,C1447,West,North Adriantown,Social Media
O100004,P7846,Remain,Books,BrandB,194.82,3,2025-04-25,C9698,West,South Cesarberg,Social Media
O100005,P2694,Way,Apparel,BrandB,179.22,2,2024-12-19,C2240,South,New George,Influencer
O100006,P5959,Read,Books,BrandC,80.13,1,2024-12-08,C5105,South,West Brianna,Social Media
O100007,P3106,Trade,Books,BrandA,246.74,3,2025-01-27,C5547,South,South Amy,Direct
O100008,P1710,Standard,Apparel,BrandC,100.21,3,2025-02-05,C4704,West,East Sandra,Email
O100009,P4299,Appear,Electronics,BrandB,366.84,1,2024-12-28,C7682,West,North Joditon,Influencer
O100010,P5130,Natural,Apparel,BrandA,337.09,3,2025-02-16,C2971,West,North Kathleentown,Email
O100011,P9398,Lose,Books,BrandC,493.08,2,2025-01-15,C3068,South,Lake Aaron,Ads
O100012,P2633,Can,Apparel,BrandD,363.3,3,2025-03-18,C6831,West,Victoriafort,Influencer
O100013,P5614,Event,Beauty,BrandC,110.15,1,2025-02-12,C7043,East,Lauraport,Ads
O100014,P8542,Year,Electronics,BrandC,314.98,2,2024-12-12,C3720,East,West William,Influencer
O100015,P3044,Human,Beauty,BrandD,199.68,1,2024-11-24,C6439,South,Gabrielaville,Social Media
O100016,P5049,Try,Apparel,BrandB,440.1,2,2025-02-22,C8636,East,Rachaelburgh,Influencer
O100017,P4511,Top,Beauty,BrandA,18.58,1,2025-04-15,C7948,North,Lake Denise,Direct
O100018,P2913,Big,Apparel,BrandC,274.3,2,2025-04-17,C9620,East,Morsetown,Social Media
O100019,P3084,Fire,Electronics,BrandD,39.91,1,2024-12-15,C4796,West,East Sherylberg,Direct
O100020,P1620,Fish,Apparel,BrandB,445.07,3,2025-01-16,C6510,North,Mercedesburgh,Email
O100021,P2157,Defense,Beauty,BrandD,387.01,1,2024-11-13,C7235,South,Gilbertshire,Direct
O100022,P9998,First,Apparel,BrandA,45.15,2,2025-01-20,C4506,East,Christophermouth,Ads
O100023,P4699,Plant,Apparel,BrandA,398.58,1,2025-04-14,C9842,North,New Meghan,Influencer
O100024,P1795,Against,Electronics,BrandB,164.95,2,2025-05-10,C2335,South,West Jessicaport,Influencer
O100025,P8247,Manager,Apparel,BrandC,362.04,1,2025-01-22,C7374,East,Burnshaven,Social Media
O100026,P6964,Institution,Beauty,BrandC,250.99,3,2025-01-06,C1700,South,West Cindy,Direct
O100027,P7982,Win,Electronics,BrandC,479.46,1,2025-04-10,C9947,South,New Lori,Ads
O100028,P5029,Number,Electronics,BrandA,393.09,2,2025-01-18,C1815,East,Kevinview,Ads
O100029,P7960,Whom,Electronics,BrandA,212.81,2,2025-02-27,C6284,East,North Jennifer,Ads
O100030,P3613,Exist,Apparel,BrandB,316.6,3,2024-12-19,C9607,South,Odonnellstad,Influencer
O100031,P5008,Seem,Home,BrandB,61.94,3,2025-03-05,C7496,South,Avilafurt,Ads
O100032,P4097,Compare,Beauty,BrandB,324.92,3,2025-04-19,C8848,West,South Darren,Email
O100033,P5500,Moment,Apparel,BrandB,450.48,1,2025-02-01,C6274,South,East Ronald,Email
O100034,P8560,Really,Books,BrandC,480.31,3,2025-02-02,C5107,South,Barrettborough,Influencer
O100035,P7062,South,Books,BrandA,44.93,1,2025-03-05,C9700,South,Wilsonchester,Email
O100036,P5453,Run,Home,BrandD,332.74,1,2024-12-21,C8334,West,Cordovahaven,Social Media
O100037,P7601,Field,Apparel,BrandC,234.02,1,2024-11-23,C2766,East,West Christinebury,Social Media
O100038,P8722,Idea,Electronics,BrandC,290.23,1,2025-01-03,C1726,North,Dianafurt,Direct
O100039,P3724,Every,Home,BrandA,416.7,3,2025-01-23,C3550,West,Jonesshire,Ads
O100040,P1446,Avoid,Beauty,BrandB,151.38,1,2025-01-23,C5572,North,West Rebecca,Direct
O100041,P7823,Indicate,Apparel,BrandD,386.04,3,2025-01-24,C3519,West,Port Danieltown,Ads
O100042,P5410,Develop,Books,BrandA,476.84,3,2025-03-16,C3457,West,Ramirezport,Email
O100043,P3165,Some,Home,BrandD,149.18,2,2024-11-17,C8266,South,East Emily,Ads
O100044,P9879,Sport,Beauty,BrandC,114.98,3,2025-02-21,C7366,East,North Brianna,Social Media
O100045,P6983,Though,Electronics,BrandB,108.54,2,2024-11-26,C2404,South,Lake Richardfort,Email
O100046,P3970,Medical,Apparel,BrandD,329.41,3,2025-01-17,C6640,West,Lake Ashleystad,Ads
O100047,P4667,Side,Beauty,BrandD,198.09,1,2024-11-20,C9967,East,Gibbsfort,Direct
O100048,P5716,Opportunity,Books,BrandD,498.74,1,2024-11-11,C8279,North,Port Brookemouth,Ads
O100049,P5477,Mrs,Electronics,BrandB,369.73,2,2025-04-24,C3733,West,Port Kevinview,Email
O100050,P4501,Star,Home,BrandD,454.63,2,2025-01-23,C9587,West,Lake Richardberg,Influencer
O100051,P2311,Day,Beauty,BrandB,299.69,1,2025-02-12,C7328,North,North Amber,Social Media
O100052,P7936,Republican,Beauty,BrandA,101.14,2,2025-02-22,C4662,North,South Robert,Ads
O100053,P7428,Question,Apparel,BrandB,145.07,2,2025-02-07,C2783,East,New Michelle,Ads
O100054,P7202,Play,Apparel,BrandC,176.12,1,2024-11-11,C6844,East,South Kylemouth,Influencer
O100055,P3807,Position,Electronics,BrandD,162.73,1,2025-03-06,C3197,East,Lake Michelle,Influencer
O100056,P3293,Attorney,Electronics,BrandC,101.79,3,2025-02-20,C1232,South,South Latashahaven,Ads
O100057,P2265,Game,Beauty,BrandC,141.64,3,2024-12-11,C4190,South,Port Robert,Ads
O100058,P8339,Full,Home,BrandB,165.4,1,2025-01-01,C4682,West,North Bradley,Ads
O100059,P2883,Product,Electronics,BrandD,255.45,1,2025-02-06,C4606,North,Port Kristenberg,Direct
O100060,P6878,Hospital,Books,BrandB,87.51,3,2025-01-29,C9815,East,Ferrellfort,Email
O100061,P7185,Walk,Apparel,BrandC,48.08,2,2024-11-14,C2044,West,West Micheleshire,Ads
O100062,P2020,Son,Electronics,BrandC,490.43,3,2025-01-16,C1945,North,West Amanda,Ads
O100063,P1954,Never,Home,BrandD,124.95,2,2025-04-18,C4187,North,Edwardstad,Direct
O100064,P1452,According,Apparel,BrandD,69.13,1,2025-02-21,C2567,West,Port Julie,Direct
O100065,P8912,Two,Books,BrandC,308.7,2,2025-03-06,C1865,North,Wellsstad,Social Media
O100066,P7068,Person,Books,BrandA,74.92,3,2024-12-31,C8419,East,Martinezchester,Social Media
O100067,P8899,Buy,Beauty,BrandC,42.06,1,2025-03-08,C6595,South,Williamsborough,Direct
O100068,P2703,People,Home,BrandD,421.61,1,2025-01-28,C7101,West,West Faith,Influencer
O100069,P8004,Teacher,Apparel,BrandA,204.1,3,2025-01-28,C9609,South,Lewishaven,Direct
O100070,P2385,Change,Beauty,BrandC,221.93,3,2024-11-16,C3599,East,Jenniferstad,Social Media
O100071,P3478,Officer,Books,BrandC,484.51,3,2025-01-27,C1206,South,New Crystal,Direct
O100072,P4831,Idea,Apparel,BrandD,300.58,3,2025-04-14,C2512,South,Lake Eric,Email
O100073,P5276,Great,Electronics,BrandA,215.04,3,2025-04-14,C7901,North,Fletcherside,Social Media
